archive_path,file_name,internal_family,grouped_family,style,full_name,postscript_name,license_status,license_name_or_basis,evidence,source_or_local_file,commercial_use_recommendation,notes,embedded_license_desc,embedded_license_url,embedded_copyright
ChelseaMarket-Regular.ttf,ChelseaMarket-Regular.ttf,Chelsea Market,Chelsea Market,Regular,Chelsea Market,ChelseaMarket-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2011 by Font Diner, Inc DBA Tart Workshop (diner@fontdiner.com) with Reseved Font Name ""Chelsea Market"""
Chicle-Regular.ttf,Chicle-Regular.ttf,Chicle,Chicle,Regular,Chicle Regular,Chicle-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License,
Version 1.1. This license is available with a FAQ at:
http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2007 Angel Koziupa (sudtipos@sudtipos.com),
Copyright (c) 2007 Alejandro Paul (sudtipos@sudtipos.com),
with Reserved Font Name ""Chicle"""
Electronic Highway Sign.TTF,Electronic Highway Sign.TTF,Electronic Highway Sign,Electronic Highway Sign,Regular,Electronic Highway Sign,electronichighwaysign,Commercial-free use,Freeware,Fonts4Free,https://www.fonts4free.net/electronic-highway-sign-font.html,OK for commercial use,Listed free for personal and commercial usage.,,,
FasterOne-Regular.ttf,FasterOne-Regular.ttf,Faster One,Faster One,Regular,Faster One,FasterOne-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012, Eduardo Tunni (http://www.tipo.net.ar), with Reserved Font Name 'Faster'"
Flexi IBM/Flexi_IBM_VGA_False.ttf,Flexi_IBM_VGA_False.ttf,Flexi IBM VGA False,Flexi IBM VGA family,Regular,Flexi IBM VGA False,Flexi_IBM_VGA_False,Commercial-free use,Creative Commons Attribution-ShareAlike 4.0,embedded metadata,https://creativecommons.org/licenses/by-sa/4.0/,OK for commercial use,Commercial use permitted with attribution and ShareAlike obligations for adaptations.,Creative Commons Attribution-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-sa/4.0/,(c) 2020 VileR
Flexi IBM/Flexi_IBM_VGA_False_437.ttf,Flexi_IBM_VGA_False_437.ttf,Flexi IBM VGA False (437),Flexi IBM VGA family,Regular,Flexi IBM VGA False (437),Flexi_IBM_VGA_False_437,Commercial-free use,Creative Commons Attribution-ShareAlike 4.0,embedded metadata,https://creativecommons.org/licenses/by-sa/4.0/,OK for commercial use,Commercial use permitted with attribution and ShareAlike obligations for adaptations.,Creative Commons Attribution-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-sa/4.0/,(c) 2020 VileR
Flexi IBM/Flexi_IBM_VGA_True.ttf,Flexi_IBM_VGA_True.ttf,Flexi IBM VGA True,Flexi IBM VGA family,Regular,Flexi IBM VGA True,Flexi_IBM_VGA_True,Commercial-free use,Creative Commons Attribution-ShareAlike 4.0,embedded metadata,https://creativecommons.org/licenses/by-sa/4.0/,OK for commercial use,Commercial use permitted with attribution and ShareAlike obligations for adaptations.,Creative Commons Attribution-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-sa/4.0/,(c) 2020 VileR
Flexi IBM/Flexi_IBM_VGA_True_437.ttf,Flexi_IBM_VGA_True_437.ttf,Flexi IBM VGA True (437),Flexi IBM VGA family,Regular,Flexi IBM VGA True (437),Flexi_IBM_VGA_True_437,Commercial-free use,Creative Commons Attribution-ShareAlike 4.0,embedded metadata,https://creativecommons.org/licenses/by-sa/4.0/,OK for commercial use,Commercial use permitted with attribution and ShareAlike obligations for adaptations.,Creative Commons Attribution-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-sa/4.0/,(c) 2020 VileR
FredokaOne-Regular.ttf,FredokaOne-Regular.ttf,Fredoka One,Fredoka One,Regular,Fredoka One Regular,FredokaOne-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,,,"Copyright (c) 2011 Milena B Brandao (milenabbrandao@gmail.com), with Reserved Font Name ""Fredoka"""
GFSDidot-Regular.ttf,GFSDidot-Regular.ttf,GFS Didot,GFS Didot,Regular,GFS Didot Regular,GFSDidot-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is Copyright (c) 2001-2006, Greek Font Society (http://www.greekfontsociety.org).

All Rights Reserved.



""GFS Didot"" is a Reserved Font Name for this Font Software.



This Font Software is licensed under the SIL Open Font License, Version 1.1.
No modification of the license is permitted, only verbatim copy is allowed.

This license is copied below, and is also available with a FAQ at:

http://scripts.sil.org/OFL





-----------------------------------------------------------

SIL OPEN FONT LICENSE Version 1.1-review1 - 18 March 2006

-----------------------------------------------------------



PREAMBLE

The goals of the Open Font License (OFL) are to stimulate worldwide

development of collaborative font projects, to support the font creation

efforts of academic and linguistic communities, and to provide a free and

open framework in which fonts may be shared and improved in partnership

with others.



The OFL allows the licensed fonts to be used, studied, modified and

redistributed freely as long as they are not sold by themselves. The

fonts, including any derivative works, can be bundled, embedded, 

redistributed and/or sold with any software provided that the font

names of derivative works are changed. The fonts and derivatives,

however, cannot be released under any other type of license. This

requirement does not affect any document created using the

fonts or their derivatives.



DEFINITIONS

""Font Software"" refers to any and all of the following:

	- font files

	- data files

	- source files

	- documentation



""Reserved Font Name"" refers to the Font Software name as seen by

users and any other names as specified after the copyright statement.



""Original Version"" refers to the collection of Font Software

components as distributed by the Copyright Holder.



""Modified Version"" refers to any derivative font software made by

adding to, deleting, or substituting -- in part or in whole --

any of the components of the Original Version, by changing formats

or by porting the Font Software to a new environment.



""Author"" refers to any designer, engineer, programmer, technical

writer or other person who contributed to the Font Software.



PERMISSION & CONDITIONS

Permission is hereby granted, free of charge, to any person obtaining

a copy of the Font Software, to use, study, copy, merge, embed, modify,

redistribute, and sell modified and unmodified copies of the Font

Software, subject to the following conditions:



1) Neither the Font Software nor any of its individual components,

in Original or Modified Versions, may be sold by itself.



2) Original or Modified Versions of the Font Software may be bundled,

redistributed and/or sold with any software, provided that each copy

contains the above copyright notice and this license. These can be

included either as stand-alone text files, human-readable headers or

in the appropriate machine-readable metadata fields within text or

binary files as long as those fields can be easily viewed by the user.



3) No Modified Version of the Font Software may use the Reserved Font

Name(s) unless explicit written permission is granted by the Copyright

Holder. This restriction applies to all references stored in the Font

Software, such as the font menu name and other font description fields,

which are used to differentiate the font from others.



4) The name(s) of the Copyright Holder or the Author(s) of the Font

Software shall not be used to promote, endorse or advertise any

Modified Version, except to acknowledge the contribution(s) of the

Copyright Holder and the Author(s) or with their explicit written

permission.



5) The Font Software, modified or unmodified, in part or in whole,

must be distributed entirely under this license, and may not be

distributed under any other license. This requirement does not affect

any document created using the Font Software.



TERMINATION

This license becomes null and void if any of the above conditions are

not met.



DISCLAIMER

THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,

EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF

MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT

OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE

COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,

INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL

DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING

FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM

OTHER DEALINGS IN THE FONT SOFTWARE.",http://scripts.sil.org/OFL,"Copyright (c) Takis Katsoulidis and George D. Matthiopoulos, 2001. All rights reserved."
GOODDP__.TTF,GOODDP__.TTF,GoodDog Plain,GoodDog Plain,Regular,GoodDog Plain,GoodDogPlain,Commercial-free use,Freeware / commercial use allowed,1001Fonts / Adobe Fonts / FontPalace,https://www.1001fonts.com/gooddog-font.html,OK for commercial use,Listed free for commercial use by common font sites; Adobe Fonts also licenses it for commercial use via Adobe subscription.,,,©1996 Ethan Dunham ‐ Fonthead Design
GWIBBLE_.TTF,GWIBBLE_.TTF,Gwibble,Gwibble,Regular,Gwibble,Gwibble,Commercial-free use,1001Fonts FFC / 100% Free,DaFont / 1001Fonts,https://www.1001fonts.com/gwibble-font.html,OK for commercial use,Listed free for commercial use.,,,Generated by Fontographer 4.1
Hardman.ttf,Hardman.ttf,Hardman,Hardman,Regular,Hardman,Hardman,Commercial-free use,GPL and OFL dual license,embedded metadata,local metadata,OK for commercial use,Commercial use is allowed under open-source terms; comply with selected license.,GPL- General Public License AND OFL-Open Font License,http://www.fsf.org/licenses/gpl.html AND http://scripts.sil.org/OFL,"Copyright (c) 2012 by Peter Wiegel.   Open Font under Terms of following Free Software Licenses:
GPL (General Public License) with font-exception and OFL (Open Font License"
IMFe/IMFePIit29P.ttf,IMFePIit29P.ttf,IM FELL DW Pica,IM FELL DW Pica family,Italic,IM FELL DW Pica Italic,IM_FELL_DW_Pica_Italic,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1.",http://scripts.sil.org/OFL,© 2007 Igino Marini (www.iginomarini.com) With Reserved Font Name IM FELL DW Pica Italic
IMFe/IMFePIrm29P.ttf,IMFePIrm29P.ttf,IM FELL DW Pica,IM FELL DW Pica family,Regular,IM FELL DW Pica Roman,IM_FELL_DW_Pica_Roman,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1.",http://scripts.sil.org/OFL,© 2007 Igino Marini (www.iginomarini.com) With Reserved Font Name IM FELL DW Pica Roman
IMFe/IMFePIsc29P.ttf,IMFePIsc29P.ttf,IM FELL DW Pica SC,IM FELL DW Pica family,Regular,IM FELL DW Pica SC,IM_FELL_DW_Pica_SC,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1.",http://scripts.sil.org/OFL,© 2007 Igino Marini (www.iginomarini.com) With Reserved Font Name IM FELL DW Pica SC
LapsusPro-Bold.otf,LapsusPro-Bold.otf,Lapsus Pro,Lapsus Pro,Bold,Lapsus Pro Bold,LapsusPro-Bold,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"SIL Open Font License, Version 1.1",http://scripts.sil.org/OFL,"Copyright (c) 2017, Jose Roses"
Lato/Lato-Regular.ttf,Lato-Regular.ttf,Lato,Lato,Regular,Lato Regular,Lato-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"Copyright (c) 2010-2011 by tyPoland Lukasz Dziedzic (http://www.typoland.com/) with Reserved Font Name ""Lato"". Licensed under the SIL Open Font License, Version 1.1 (http://scripts.sil.org/OFL).",http://scripts.sil.org/OFL,"Copyright (c) 2010-2011 by tyPoland Lukasz Dziedzic with Reserved Font Name ""Lato"". Licensed under the SIL Open Font License, Version 1.1."
LibreBaskerville/LibreBaskerville-Bold.ttf,LibreBaskerville-Bold.ttf,Libre Baskerville,Libre Baskerville,Bold,Libre Baskerville Bold,LibreBaskerville-Bold,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012, Pablo Impallari (www.impallari.com|impallari@gmail.com), 
Copyright (c) 2012, Rodrigo Fuenzalida (www.rfuenzalida.com|hello®rfuenzalida.com), with Reserved Font Name Libre Baskerville."
LibreBaskerville/LibreBaskerville-Italic.ttf,LibreBaskerville-Italic.ttf,Libre Baskerville,Libre Baskerville,Italic,Libre Baskerville Italic,LibreBaskerville-Italic,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012, Pablo Impallari (www.impallari.com|impallari@gmail.com), 
Copyright (c) 2012, Rodrigo Fuenzalida (www.rfuenzalida.com|hello®rfuenzalida.com), with Reserved Font Name Libre Baskerville."
LibreBaskerville/LibreBaskerville-Regular.ttf,LibreBaskerville-Regular.ttf,Libre Baskerville,Libre Baskerville,Regular,Libre Baskerville,LibreBaskerville-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012, Pablo Impallari (www.impallari.com|impallari@gmail.com), 
Copyright (c) 2012, Rodrigo Fuenzalida (www.rfuenzalida.com|hello®rfuenzalida.com), with Reserved Font Name Libre Baskerville."
Lobster.ttf,Lobster.ttf,Lobster,Lobster,Regular,Lobster,Lobster-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,Copyright (c) 2010 by Pablo Impallari (www.impallari.com)
MervaleScript-Regular.ttf,MervaleScript-Regular.ttf,Mervale Script,Mervale Script,Regular,Mervale Script,MervaleScript-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License,
Version 1.1. This license is available with a FAQ at:
http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012 by Brian J. Bonislawsky DBA Astigmatic (AOETI) (astigma@astigmatic.com), with Reserved
Font Name ""Mervale Script"""
Montserrat/Montserrat-Regular.ttf,Montserrat-Regular.ttf,Montserrat,Montserrat,Regular,Montserrat Regular,Montserrat-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,Copyright 2011 The Montserrat Project Authors (https://github.com/JulietaUla/Montserrat)
OpenSans/OpenSansBold.ttf,OpenSansBold.ttf,Open Sans,Open Sans,Bold,Open Sans Bold,OpenSans-Bold,Commercial-free use,Apache License 2.0,embedded metadata / bundled license / Google Fonts,local metadata; https://www.apache.org/licenses/LICENSE-2.0; https://fonts.google.com/faq,OK for commercial use,Archive metadata/license indicates Apache 2.0; newer Google Fonts copies of some families may now be OFL.,"Licensed under the Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0,"Digitized data copyright © 2010-2011, Google Corporation."
OpenSans/OpenSansLight.ttf,OpenSansLight.ttf,Open Sans,Open Sans,Light,Open Sans Light,OpenSans-Light,Commercial-free use,Apache License 2.0,embedded metadata / bundled license / Google Fonts,local metadata; https://www.apache.org/licenses/LICENSE-2.0; https://fonts.google.com/faq,OK for commercial use,Archive metadata/license indicates Apache 2.0; newer Google Fonts copies of some families may now be OFL.,"Licensed under the Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0,"Digitized data copyright © 2010-2011, Google Corporation."
OpenSans/OpenSansRegular.ttf,OpenSansRegular.ttf,Open Sans,Open Sans,Regular,Open Sans,OpenSans,Commercial-free use,Apache License 2.0,embedded metadata / bundled license / Google Fonts,local metadata; https://www.apache.org/licenses/LICENSE-2.0; https://fonts.google.com/faq,OK for commercial use,Archive metadata/license indicates Apache 2.0; newer Google Fonts copies of some families may now be OFL.,"Licensed under the Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0,"Digitized data copyright © 2010-2011, Google Corporation."
OpenSans/OpenSansSemibold.ttf,OpenSansSemibold.ttf,Open Sans,Open Sans,Semibold,Open Sans Semibold,OpenSans-Semibold,Commercial-free use,Apache License 2.0,embedded metadata / bundled license / Google Fonts,local metadata; https://www.apache.org/licenses/LICENSE-2.0; https://fonts.google.com/faq,OK for commercial use,Archive metadata/license indicates Apache 2.0; newer Google Fonts copies of some families may now be OFL.,"Licensed under the Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0,"Digitized data copyright © 2011, Google Corporation."
Oregano-Italic.ttf,Oregano-Italic.ttf,Oregano,Oregano,Italic,Oregano Italic,Oregano-Italic,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License,
Version 1.1. This license is available with a FAQ at:
http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012 by Brian J. Bonislawsky DBA Astigmatic (AOETI) (astigma@astigmatic.com), with Reserved
Font Name ""Oregano Italic"""
Oregano-Regular.ttf,Oregano-Regular.ttf,Oregano,Oregano,Regular,Oregano,Oregano-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License,
Version 1.1. This license is available with a FAQ at:
http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2012 by Brian J. Bonislawsky DBA Astigmatic (AOETI) (astigma@astigmatic.com), with Reserved
Font Name ""Oregano"""
Oswald-Bold.ttf,Oswald-Bold.ttf,Oswald,Oswald,Bold,Oswald Bold,Oswald-Bold,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,,http://scripts.sil.org/OFL,Copyright (c) 2011-12 by vernon adams. All rights reserved.
PatuaOne-Regular.ttf,PatuaOne-Regular.ttf,Patua One,Patua One,Regular,Patua One,PatuaOne-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2011 by LatinoType Limitada (info@latinotype.com),  with Reserved Font Names ""Patua"" and ""Patua One"""
Perfect DOS VGA 437.ttf,Perfect DOS VGA 437.ttf,Perfect DOS VGA 437,Perfect DOS VGA 437,Regular,Perfect DOS VGA 437,PerfectDOSVGA437,Commercial-free use,Freeware / 100% free,DaFont / Fonts4Free,https://www.dafont.com/perfect-dos-vga-437.font,OK for commercial use,Listed as 100% Free; other mirrors list free personal/commercial.,,,http://www.fatorcaos.com.br
PermanentMarker.ttf,PermanentMarker.ttf,Permanent Marker,Permanent Marker,Regular,Permanent Marker,PermanentMarker,Commercial-free use,Apache License 2.0,embedded metadata / bundled license / Google Fonts,local metadata; https://www.apache.org/licenses/LICENSE-2.0; https://fonts.google.com/faq,OK for commercial use,Archive metadata/license indicates Apache 2.0; newer Google Fonts copies of some families may now be OFL.,"Licensed under the Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0,"Copyright (c) 2010 by Font Diner, Inc. All rights reserved."
