Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Core / Architecture,Large-window panel/service/state split,Partially implemented,Critical,High,Maintainability,"Debug split files, PaletteDesigner* panels, AudioCoverage* scanners/models, ModularPathSpawnerEditorUtility.cs, ModularPathSpawnerEditorHooks.cs","Debug Control, Palette Designer, Audio Coverage, and Modular Path systems have been split/refactored. Several large windows remain above 1,000 lines, including Theme Customizer, generated preset library, Terrain Usage Scanner, and Audio Coverage Window."
Core / Architecture,Minimizer Tray: minimize floating utility panels into bottom-left tab headers,Partially implemented,High,High,Utility workflow / editor chrome,PungentUtilityMinimizer.BottomStripEnabled; ComputeTrayRect; PungentUtilityTrayWindow tab drawing,"Minimize/restore, popup list, and optional bottom-left tab strip are implemented in code. Needs in-Unity validation for docking edge cases, strip positioning, clipping, and whether every registered utility header exposes the minimize action consistently."
Core / Architecture,Namespace hardening,Fully implemented,Critical,High,Export safety,181/181 C# scripts declare namespaces,The previous namespace blocker is fully resolved in this archive.
Core / Architecture,Optional cross-lab bridge/degraded UI cards,Scaffolded,High,High,Standalone lab safety,RelatedUtilityIds in registry/control panel,"Related utility links exist, but optional bridge packages, missing-integration cards, and soft service lookup are not yet implemented."
Core / Architecture,Package status badges: Stable/Experimental/In Progress/Deprecated/Project Adapter,Fully implemented,High,Low,Release polish,"PungentUtilityPackageStatus.cs, PungentUtilityDescriptor.cs, PungentUtilityRegistry.cs, PungentUtilityControlPanelWindow.cs","Shared status constants/descriptions/tints/sort keys exist. Current central registry status counts: {'Stable': 12, 'InProgress': 2, 'Experimental': 13}."
Core / Architecture,Per-lab package manifests and standalone release metadata,Yet to implement,Critical,High,Asset Store / modular distribution,No package.json/manifests or per-lab asmdefs found,Required for independently releasable lab packages and optional bridge packages. Current package is bundle-oriented.
Core / Architecture,"Pinned tools, favourite labs, and resume-last-session workflows",Partially implemented,Medium,Medium,Launcher UX / workflow continuity,"PungentUtilityControlPanelWindow.cs, PungentUtilityMinimizer, UtilityWindowPrefs","Recent/minimized utility flows exist. Pinned tools, favourite labs, last active module per lab, and recently used asset resume are still not a unified feature."
Core / Architecture,PungentUtilityDescriptor metadata contract,Fully implemented,Critical,Medium,Central to every utility,Editor/Utilities Core/PungentUtilityDescriptor.cs,Descriptor now includes lab/module/status/related utility IDs and cached window type resolution.
Core / Architecture,Registry related-utility links,Fully implemented,High,Low,Cross-lab discoverability,"PungentUtilityDescriptor.RelatedUtilityIds, PungentUtilityRegistry.RelatedUtilities, Control Panel related tool buttons",Registry supports and displays related utilities. It does not yet imply optional bridge/package dependency management.
Core / Architecture,Release-readiness interpretation and next-pass brief generator,Fully implemented,High,Medium,Internal QA / update planning,PungentUtilityReleaseReadiness.cs; PungentUtilityDesignAuditWindow.cs,Design audit reports can be converted into prioritized gates and paste-ready next-pass brief text.
Core / Architecture,"Responsive small-window layouts, vertical scrolling, draggable shared borders",Partially implemented,High,Medium,UX quality,Theme resize handles; many scroll views,Several windows still have large min sizes or monolithic layouts.
Core / Architecture,Runtime/editor asmdef separation,Partially implemented,Critical,Medium,Export hardening,PungentFunk.Utilities.Runtime.asmdef; Editor/PungentFunk.Utilities.Editor.asmdef; 0 UnityEditor refs in runtime/shared scripts detected by text scan,The runtime/editor split is cleaner than the prior snapshot. Per-lab/bridge splits remain future work.
Core / Architecture,Scene View overlay integration for scene tools,Scaffolded,High,High,Scene workflow access surface,"PungentSceneHelpOverlay.cs, PungentNoteSceneOverlay.cs, scene GUI handlers, SupportsSceneOverlay metadata","Scene-related hooks and overlay-like GUI exist, but no formal Unity Overlay API classes were found."
Core / Architecture,Selection-aware and context-aware tool launch startup,Partially implemented,High,Medium,Workflow speed / user context,Context menus and selection-support metadata; several windows import current selection,Some tools seed from current selection or context menus. Not all utility windows detect and adapt to current selection/folder/asset type on open.
Core / Architecture,Shared UtilityWindowPrefs persistence,Fully implemented,High,Low,UX consistency,UtilityWindowPrefs.cs plus widespread preference usage,Shared EditorPrefs helper is stable and broadly used. Additional domain-specific session state still lives in individual tools where appropriate.
Core / Architecture,Shared UtilityWindowTheme visual system,Fully implemented,Critical,High,UX consistency,"UtilityWindowTheme.cs, UtilityWindowThemeCustomizer.cs",Most windows use it.
Core / Architecture,Shared editor performance/incremental queue helper,Partially implemented,High,Medium,Performance foundation,"PungentEditorPerformanceUtility.cs, PungentScan* infrastructure",Performance helper has expanded significantly. Adoption is not yet universal across all scanner and preview windows.
Core / Architecture,Shared scan/cache/performance infrastructure,Partially implemented,Critical,High,All scanner windows,"Editor/Utilities Core/Scanning/PungentScanCache.cs, PungentScanResult.cs, PungentScanSession.cs, PungentScanGUI.cs; audio scanners use PungentScanResult",Reusable scan infrastructure is implemented. Full migration across all scanner windows is still in progress.
Core / Architecture,Standard CreateAssetMenu root: PungentFunk Utilities/<Lab>/<Asset Type>,Fully implemented,High,Low,Professional polish,12 CreateAssetMenu declarations all use PungentFunk Utilities/... roots,"Former PungentFunk/Audio and Pungent Funk/Generation drift has been corrected. Some sublab labels can still be refined, but the root is consistent."
Core / Architecture,Standard Tools/Utilities menu policy,Partially implemented,High,Medium,Professional polish,PungentUtilityMenuPaths.Root = Tools/Pungent; PungentUtilityToolMenus.cs; legacy menu aliases remain,Primary public menu root has shifted to Tools/Pungent and is centralized. Legacy Tools/Utilities and old compatibility aliases remain in some files and should be curated before release.
Core / Architecture,TextMeshPro optional dependency isolation or asmdef declaration,Partially implemented,High,Medium,Compile safety / optional dependencies,FontPreviewWindow.cs uses #if TMP_PRESENT; PaletteApplyUtility uses reflection-style TMP handling; Editor asmdef has no versionDefines,"Compile-time TMP usage is guarded, reducing hard dependency risk. Add asmdef versionDefines or optional bridge packaging so TMP features become available automatically when TextMeshPro is installed."
Core / Architecture,Theme Recipe developer overwrite selected starter theme,Fully implemented,High,Medium,Theme authoring / developer tooling,UtilityWindowThemeCustomizer.PresetAuthoring.cs; UtilityThemePresetSourceWriter.cs,Developer-only warning panel can overwrite selected generated preset source with current theme values.
Core / Architecture,Theme preset add/remove/archive management with developer-only archived presets,Fully implemented,High,Medium,Theme authoring / release curation,UtilityWindowThemeCustomizer.PresetAuthoring.cs; UtilityThemePresetSourceWriter.cs; UtilityThemePresetLibrary.Generated.cs,"Developer tools can add generated presets, remove generated entries, and archive/unarchive presets using hiddenFromGallery metadata."
Core / Architecture,Theme presets include curated commercially redistributable fonts,Scaffolded,Medium,Medium,Appearance presets / release polish,UtilityThemePresetDefinition.FontHints; FontPreviewWindow.cs,"Preset font-hint metadata exists, but no redistributable font asset pack/licence workflow is present in this archive."
Core / Architecture,Tooltips and contextual enum descriptions for all fields,Partially implemented,High,Medium,Usability,Many GUIContent tooltips exist,Not universal; enum-specific help is inconsistent.
Core / Architecture,USS bridge text-style controls and Style Explorer font preset mapping,Partially implemented,High,High,Appearance Lab / editor skinning,PungentEditorStyleExplorerWindow.cs; PungentEditorTextRoleMap.cs; PungentEditorGuiStyleBridge.cs; PungentEditorSkinUssGenerator.cs,Style Explorer now exposes text-role mapping with USS and GUIStyle toggles per editor text target. It remains experimental and needs visual QA against hierarchy/inspector/font-size edge cases.
Core / Architecture,Undo/SetDirty safety for scene/asset modification,Partially implemented,Critical,Medium,Safety,"PlacementApplyUtility, palette changes, editor scanners",Present in many areas; needs package-wide audit.
Core / Architecture,Utility Tray / parked recent windows,Fully implemented,Medium,Medium,Workflow QoL,Editor/Utilities Core/Minimize Utilities/PungentUtilityTrayWindow.cs; PungentMinimizedUtilitiesButton.cs; PungentMinimizedUtilitiesPopupContent.cs,The old tray has been replaced/expanded into a minimized utilities popup and restore system with persisted entries.
Core / Architecture,Window appearance/theme customizer,Fully implemented,High,High,UX consistency,"UtilityWindowThemeCustomizer.cs, UtilityWindowTheme.cs, UtilityWindowPrefs.cs","Theme customizer includes built-in presets, generated/randomized themes, custom local preset save/update/delete, role colours, locks, and persistence. Developer-mode preset overwrites/archive workflow is separate future work."
Debug Lab,Debug Control Center window,Fully implemented,High,High,Debug utility product,"DebugControlWindow.cs shell plus DebugControlActionScheduler, ComponentPanel, DiscoveryService, RouterPanel, ReflectionUtility, WindowState",Debug Control Center has been split into maintainable support files. Monitor file sizes but the prior single-file blocker is resolved for this tool.
Debug Lab,Debug Router,Fully implemented,High,High,Debug signal backbone,Debug/DebugRouter.cs,Moved out of Editor folder and namespaced as runtime/shared debug infrastructure.
Debug Lab,Debug action scheduler,Fully implemented,Medium,High,Debug automation,"DebugControlActionModel.cs, DebugControlActionScheduler.cs",Dedicated scheduler model and executor/panel now exist.
Debug Lab,Debug channel/signal constants,Fully implemented,Medium,Low,Debug standardization,Debug/DebugChannels.cs,Moved out of Editor folder and namespaced under PungentFunk.Utilities.Debugging.
Debug Lab,Debug coverage reports via Project Audit optional hook,Yet to implement,Medium,Medium,Cross-lab enhancement,No bridge/report module found,Architecture bible lists this as optional hook.
Debug Lab,Debug signal relay to UnityEvents,Fully implemented,Medium,Low,Scene integration,Debug/DebugSignalRelay.cs,Moved out of Editor folder and namespaced as runtime/shared debug infrastructure.
Debug Lab,Reflected debug fields/static toggles/component state inspection,Fully implemented,High,High,Debug authoring,"DebugControlComponentPanel.cs, DebugControlDiscoveryService.cs, DebugControlReflectionUtility.cs",Feature is extracted from the monolith into service/panel files.
Debug Lab,Router panel reimplementation without serializedObject/targets OnSceneGUI issues,Fully implemented,High,Medium,Stability,DebugControlRouterPanel.cs,Router UI is now a dedicated panel file and no longer bundled only inside DebugControlWindow.
Asset Placement Lab,Area Scatter module,Partially implemented,Critical,High,Primary placement workflow,"AssetPlacementLabWindow.cs, PungentPlacementScatterUtility.cs",Preview/apply with several patterns exists; needs polish and lab-level integration with all planned rules.
Asset Placement Lab,Asset Placement Lab hub/window,Partially implemented,Critical,High,Placement lab core,Editor/Asset Placement Lab/AssetPlacementLabWindow.cs,Registered as In Progress and expanded to a 666-line lab hub; still missing planned surface brush/socket graph/cluster/drop/connector/bounds-fill modules.
Asset Placement Lab,Backtracking solver,Yet to implement,Medium,Very High,Advanced placement solving,No file found,Listed in planned shared utilities.
Asset Placement Lab,Bounds fill / room dressing,Yet to implement,High,Very High,Level-design automation,No room-dressing module found,Planned module.
Asset Placement Lab,Cluster growth placement,Yet to implement,Medium,High,Organic placement,No cluster module found,Planned module from implementation brief.
Asset Placement Lab,Colour Lab palette-driven prefab/material variation bridge,Yet to implement,Medium,High,Cross-lab enhancement,No bridge package found,Architecture bible recommends optional hook.
Asset Placement Lab,Connector / bridge placement,Yet to implement,Medium,High,Modular assembly,No connector module found,Planned module.
Asset Placement Lab,Grid / footprint placement module,Partially implemented,High,Medium,Manual assist,"AssetPlacementLabWindow GridFootprint module, GridUtility",Grid snapping and auto-footprint exist; not a complete grid placement/stamping workflow.
Asset Placement Lab,Heatmap / density-mask scatter,Partially implemented,High,Medium,Contextual placement,RuleSet heatmap fields + ScatterUtility,Texture heatmap sampling exists; no Texture Lab bridge or mask authoring workflow yet.
Asset Placement Lab,Modular path to placement-lab handoff,Partially implemented,High,Medium,Cross-tool scene workflow,PungentPlacementPathIntegrationUtility.cs; AssetPlacementLabWindow.OpenWithPath,Path sources can open/focus the placement lab and produce bounds/path previews. Needs full bridge UX polish.
Asset Placement Lab,Path placement / modular path generation,Partially implemented,High,High,Scene dressing/paths,PungentPlacementPathIntegrationUtility.cs; ModularPathSpawner.cs; ModularPathWindow.cs; AssetPlacementLabWindow ModularPath area mode,Asset Placement Lab can integrate with ModularPathSpawner for path bounds/preview. Still not a full standalone path placement solver inside Placement Lab.
Asset Placement Lab,Physics drop / settle placement,Yet to implement,Medium,High,Natural dressing workflow,No physics placement module found,Planned module.
Asset Placement Lab,Placement Group Manager,Partially implemented,High,Medium,Generated-scene maintenance,AssetPlacementLabWindow Group Manager; PungentPlacementGroupRepairUtility.cs,Group scan/adopt/delete/repair/revalidate/realign/source-prefab checks are implemented. Replace variations and deeper repair remain future work.
Asset Placement Lab,Placement asset set / weighted prefab catalogue,Fully implemented,Critical,Medium,Placement core,Asset Placement Lab/PungentPlacementAssetSetSO.cs,Namespaced under PungentFunk.Utilities.Placement with standard CreateAssetMenu root.
Asset Placement Lab,"Placement data models: context, candidate, result, footprint, marker, group",Fully implemented,Critical,Medium,Placement core,"PungentPlacementTypes.cs, PungentPlacedAssetMarker.cs, PungentPlacementGroup.cs",Core result/candidate flow exists.
Asset Placement Lab,Placement group repair utility,Partially implemented,High,Medium,Scene maintenance / placement lifecycle,PungentPlacementGroupRepairUtility.cs,"Adds revalidate, orphan marker removal, child selection, missing source prefab detection, source prefab replacement, and surface realignment helpers."
Asset Placement Lab,Placement overlap validator,Scaffolded,High,Medium,Placement rule quality,Overlap logic appears inside generation/rule flow,No separate PungentPlacementOverlapValidator file.
Asset Placement Lab,Placement preview utility,Scaffolded,High,Medium,UX/safety,Preview drawing and path preview remain inside AssetPlacementLabWindow/PungentPlacementPathIntegrationUtility,Preview logic exists but no standalone PungentPlacementPreviewUtility file was found.
Asset Placement Lab,Placement rule set / reusable surface rules,Partially implemented,Critical,Medium,Placement core,Asset Placement Lab/PungentPlacementRuleSetSO.cs,Core rule data exists and is namespaced; advanced contextual rules/repair modules still need expansion.
Asset Placement Lab,Placement socket marker,Partially implemented,High,Medium,Modular assembly foundation,PungentPlacementSocket.cs,Socket metadata exists.
Asset Placement Lab,Re-align existing placed objects,Partially implemented,High,Medium,Scene maintenance,PungentPlacementGroupRepairUtility.RealignSelectedMarkersToSurface; SurfaceAlignToolWindow,Selected marker realignment exists. A full batch re-align workflow for all generated groups remains incomplete.
Asset Placement Lab,Replace variations,Yet to implement,High,Medium,Scene iteration,No replacement module found,Planned scene-management category.
Asset Placement Lab,"Scatter patterns: random, min spacing, grid, jittered grid, hex, spiral, ring, line",Fully implemented,High,Medium,Scatter generation,"PungentPlacementScatterUtility.cs, PungentPlacementTypes.cs",Candidate generation exists.
Asset Placement Lab,Selection array placement,Yet to implement,Medium,Medium,Manual assist,No selection array module found,Listed as planned manual assist category.
Asset Placement Lab,Socket graph / modular tile placement,Scaffolded,High,Very High,Modular assembly,Socket component + validator only,Actual graph placement/solver not implemented.
Asset Placement Lab,Socket validator,Partially implemented,High,Medium,Modular assembly safety,PungentPlacementSocketValidator.cs,Validates selected sockets; not a full socket library validator/solver.
Asset Placement Lab,Stamp placement,Yet to implement,Medium,Medium,Manual assist,No stamp module found,Listed as planned manual assist category.
Asset Placement Lab,Surface brush placement,Partially implemented,High,High,Manual dressing workflow,PungentPlacementSurfaceBrushController.cs; AssetPlacementLabWindow SurfaceBrush module,Surface Brush module and scene GUI controller exist. Needs interactive Unity validation and broader brush/stamp feature depth.
Asset Placement Lab,Surface sampler utility,Scaffolded,High,Medium,Placement rule quality,Brush/path/scatter raycast sampling logic in placement files,"Sampling exists inline across placement modules, but no shared PungentPlacementSurfaceSampler utility exists yet."
Asset Placement Lab,Terrain scatter with terrain layers/context rules,Partially implemented,High,High,Level-design automation,RuleSet surface mask/height/slope,No terrain-layer material/category weighting system found.
Asset Placement Lab,Texture Lab density-mask bridge,Yet to implement,Medium,High,Cross-lab enhancement,Heatmap field only,No dedicated bridge or handoff workflow.
Asset Placement Lab,Validate asset set,Scaffolded,High,Medium,Authoring safety,AssetSetBuilder and asset set fields,No dedicated asset set validator beyond selection creation/metadata.
Asset Placement Lab,Validate socket library,Partially implemented,Medium,Medium,Authoring safety,SocketValidator,Selection validation exists; library-wide validation absent.
Scene Workflow Lab,Modular Path Builder window/editor/runtime spawner,Partially implemented,High,High,Path/modular assembly,"ModularPathSpawner.cs, ModularPathSpawnerEditorHooks.cs, ModularPathSpawnerEditorUtility.cs, ModularPathWindow.cs",Editor hooks/utility were split from runtime. ModularPathSpawner is still 873 lines and remains a split target.
Scene Workflow Lab,Modular Path editor/runtime split helpers,Partially implemented,High,Medium,Runtime/editor separation,ModularPathSpawnerEditorHooks.cs; ModularPathSpawnerEditorUtility.cs,Editor hooks and utility logic have moved out of the runtime spawner. The spawner remains large but runtime UnityEditor references are no longer detected by text scan.
Scene Workflow Lab,Path Authoring Toolkit,Partially implemented,High,Medium,Path helper foundation,PungentPathAuthoringToolkitWindow.cs,Handle/sampling concepts present; not fully consolidated with path placement.
Scene Workflow Lab,Scene Gizmo Browser,Partially implemented,High,Medium,Scene visualization management,PungentGizmoBrowserWindow.cs,Cached scanning was added; still uses SceneView.RepaintAll in places.
Scene Workflow Lab,Scene Gizmo Source component,Fully implemented,High,Medium,Scene visualization,PungentSceneGizmoSource.cs,Configurable gizmo rules and labels.
Scene Workflow Lab,Scene Gizmo Source custom inspector,Fully implemented,Medium,Medium,Authoring UX,PungentSceneGizmoSourceEditor.cs,Rule editing/templates/preview.
Scene Workflow Lab,Scene Help Overlay,Scaffolded,Medium,Low,Assistance UX,PungentSceneHelpOverlay.cs,Lightweight hook only.
Scene Workflow Lab,Scene Navigation window,Partially implemented,High,Medium,Scene authoring QoL,PungentSceneNavigationWindow.cs,Waypoints/tracking/focus appear present; prefs/splitters could be more consistent.
Scene Workflow Lab,Scene Workflow lab hub consolidation,Partially implemented,High,Medium,Navigation,Registry lab menu + individual windows,"Tools are grouped by registry, but no cohesive lab hub window beyond launcher filtering."
Scene Workflow Lab,Surface Align Tool / TerrainAlign compatibility,Partially implemented,High,Medium,Scene placement aid,TerrainAlignTool.cs,Functional and generic; legacy naming remains.
Colour Lab,Built-in Unity swatches/reference libraries,Yet to implement,Medium,Medium,Reference workflow,No standard library assets found,Mentioned in colour tool refinement.
Colour Lab,Colour blending A/B tone matrix and temperature bars,Yet to implement,Low,High,Advanced refinement,No blending section found,Prior Colour Inspector plan only.
Colour Lab,Colour palette asset,Fully implemented,High,Medium,Package architecture,Palette Designer/PungentColourPaletteSO.cs,Now uses namespace PungentFunk.Utilities.Colour and standard CreateAssetMenu root PungentFunk Utilities/Colour/Palette.
Colour Lab,Colour value modes: RGB/HSV/CMYK/LAB/Grayscale conversions,Fully implemented,High,Medium,Colour editing foundation,ColourConversionUtility.cs,Utility support exists.
Colour Lab,Contrast analysis / WCAG ratings,Fully implemented,High,Medium,Accessibility,"ColourContrastUtility.cs, PaletteAnalysisUtility.cs",Contrast pairs and ratings exist.
Colour Lab,Contrast checker matrix visual section,Scaffolded,Medium,Medium,Accessibility visualization,PaletteAnalysisUtility pair list,No matrix VisualElement/section as designed.
Colour Lab,Coolors-style organic palette generation,Partially implemented,High,High,Palette UX,PaletteDesignerWindow generation controls,Seed/harmony/ranges/contrast exist; weighted harmony mixer and richer contextual generation absent.
Colour Lab,Deficiency preview / colour blindness filters,Fully implemented,High,Medium,Accessibility,ColourDeficiencyPreviewUtility.cs + toolbar enum,Preview utility and UI selection exist.
Colour Lab,Dynamic filter sliders by selected colour mode,Partially implemented,High,Medium,Advanced filtering,PaletteDesignerWindow generation sliders + ColourConversionUtility,Mode conversion exists; full filter-mode panel from runtime design is not present.
Colour Lab,Filter influence scalar,Yet to implement,Medium,Low,Generation control,No filterInfluence field found,"Harmony influence exists, filter influence does not."
Colour Lab,Generated variant/base/extra swatch column model,Yet to implement,Medium,High,Advanced palette generation,No GeneratedPaletteVariant UXML/USS or runtime UI files found,"Current package uses IMGUI Palette Designer, not the later runtime/UI Toolkit structure."
Colour Lab,Gradient/tint tools,Yet to implement,Medium,Medium,Colour authoring,No dedicated gradient/tint tools found,Mentioned in advanced colour design list.
Colour Lab,Harmony Influence scalar,Fully implemented,Medium,Low,Generator tuning,"PaletteGenerationSettings.harmonyInfluence, UI slider",Present.
Colour Lab,Harmony rules: monochromatic/complementary/split/analogous/triadic/tetradic/square,Fully implemented,High,Medium,Palette theory,"ColourHarmonyUtility.cs, PaletteGenerationSettings.cs",Core harmony calculations exist.
Colour Lab,Import/export formats such as .aco,Yet to implement,Low,High,Interchange,No import/export parser found,Mentioned as aspirational feature.
Colour Lab,Include selected colour / include selected palette toggles during generation,Yet to implement,Medium,Medium,Generator workflow,No include selected/include palette fields found,Mentioned in later colour generator plan.
Colour Lab,Interactive weighted Harmony Mixer bar,Yet to implement,Medium,High,Advanced generation UI,No mixer UI classes found,"Mentioned as finalized design in prior colour work, not in current package."
Colour Lab,Multiple harmony types with priority/mixing ratios,Yet to implement,High,High,Advanced generation,No weighted mixer model found,Previously desired for advanced generator.
Colour Lab,Palette Designer main window,Partially implemented,Critical,High,Primary Colour Lab UI,"PaletteDesignerWindow.cs plus PaletteDesignerToolbar, SwatchGridPanel, GenerationPanel, SelectedSwatchPanel, AnalysisPanel, ApplyPanel, GUIUtility",Palette Designer has been modularized into panel files and the main window is much smaller than before. It still needs UX/generation-quality passes and remains IMGUI/editor-only.
Colour Lab,Palette Designer panel/service split,Partially implemented,High,Medium,Maintainability / UX refinement,PaletteDesignerAnalysisPanel.cs; PaletteDesignerApplyPanel.cs; PaletteDesignerGenerationPanel.cs; PaletteDesignerSelectedSwatchPanel.cs; PaletteDesignerSwatchGridPanel.cs; PaletteDesignerToolbar.cs,"Major panel extraction has occurred. Main window remains >1,000 lines and generation/UI polish remains pending."
Colour Lab,"Palette Refinements: harmony section, monochrome bar, tone matrices",Yet to implement,Medium,High,Advanced refinement UI,No refinement panel files found,Detailed UI structure from prior colour chats absent.
Colour Lab,Palette application to materials/renderers/UI/text/TMP-like targets,Partially implemented,High,High,Cross-scene application,PaletteApplyUtility.cs,Applies to selected targets and uses reflection for TMP-like text; still needs optional bridge/dependency documentation.
