Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Debug Lab,Debug coverage reports via Project Audit optional hook,Yet to implement,Medium,Medium,Cross-lab enhancement,No bridge/report module found,Architecture bible lists this as optional hook.
Asset Placement Lab,Placement asset set / weighted prefab catalogue,Fully implemented,Critical,Medium,Placement core,Asset Placement Lab/PungentPlacementAssetSetSO.cs,Namespaced under PungentFunk.Utilities.Placement with standard CreateAssetMenu root.
Asset Placement Lab,Placement rule set / reusable surface rules,Partially implemented,Critical,Medium,Placement core,Asset Placement Lab/PungentPlacementRuleSetSO.cs,Core rule data exists and is namespaced; advanced contextual rules/repair modules still need expansion.
Asset Placement Lab,"Placement data models: context, candidate, result, footprint, marker, group",Fully implemented,Critical,Medium,Placement core,"PungentPlacementTypes.cs, PungentPlacedAssetMarker.cs, PungentPlacementGroup.cs",Core result/candidate flow exists.
Asset Placement Lab,Area Scatter module,Partially implemented,Critical,High,Primary placement workflow,"AssetPlacementLabWindow.cs, PungentPlacementScatterUtility.cs",Preview/apply with several patterns exists; needs polish and lab-level integration with all planned rules.
Asset Placement Lab,"Scatter patterns: random, min spacing, grid, jittered grid, hex, spiral, ring, line",Fully implemented,High,Medium,Scatter generation,"PungentPlacementScatterUtility.cs, PungentPlacementTypes.cs",Candidate generation exists.
Asset Placement Lab,Heatmap / density-mask scatter,Partially implemented,High,Medium,Contextual placement,RuleSet heatmap fields + ScatterUtility,Texture heatmap sampling exists; no Texture Lab bridge or mask authoring workflow yet.
Asset Placement Lab,Terrain scatter with terrain layers/context rules,Partially implemented,High,High,Level-design automation,RuleSet surface mask/height/slope,No terrain-layer material/category weighting system found.
Asset Placement Lab,Grid / footprint placement module,Partially implemented,High,Medium,Manual assist,"AssetPlacementLabWindow GridFootprint module, GridUtility",Grid snapping and auto-footprint exist; not a complete grid placement/stamping workflow.
Asset Placement Lab,Surface brush placement,Yet to implement,High,High,Manual dressing workflow,No brush module found,Explicitly planned as a priority module.
Asset Placement Lab,Stamp placement,Yet to implement,Medium,Medium,Manual assist,No stamp module found,Listed as planned manual assist category.
Asset Placement Lab,Selection array placement,Yet to implement,Medium,Medium,Manual assist,No selection array module found,Listed as planned manual assist category.
Asset Placement Lab,Placement socket marker,Partially implemented,High,Medium,Modular assembly foundation,PungentPlacementSocket.cs,Socket metadata exists.
Asset Placement Lab,Socket validator,Partially implemented,High,Medium,Modular assembly safety,PungentPlacementSocketValidator.cs,Validates selected sockets; not a full socket library validator/solver.
Asset Placement Lab,Socket graph / modular tile placement,Scaffolded,High,Very High,Modular assembly,Socket component + validator only,Actual graph placement/solver not implemented.
Asset Placement Lab,Path placement / modular path generation,Partially implemented,High,High,Scene dressing/paths,"ModularPathSpawner.cs, ModularPathWindow.cs",Functional separate path tool; not fully absorbed into Asset Placement Lab.
Asset Placement Lab,Cluster growth placement,Yet to implement,Medium,High,Organic placement,No cluster module found,Planned module from implementation brief.
Asset Placement Lab,Physics drop / settle placement,Yet to implement,Medium,High,Natural dressing workflow,No physics placement module found,Planned module.
Asset Placement Lab,Connector / bridge placement,Yet to implement,Medium,High,Modular assembly,No connector module found,Planned module.
Asset Placement Lab,Placement Group Manager,Partially implemented,High,Medium,Generated-scene maintenance,AssetPlacementLabWindow GroupManager module,Scan/select/adopt/delete markers exists; replace/repair workflows missing.
Asset Placement Lab,Bounds fill / room dressing,Yet to implement,High,Very High,Level-design automation,No room-dressing module found,Planned module.
Asset Placement Lab,Replace variations,Yet to implement,High,Medium,Scene iteration,No replacement module found,Planned scene-management category.
Asset Placement Lab,Re-align existing placed objects,Partially implemented,High,Medium,Scene maintenance,"SurfaceAlignToolWindow, GroupManager","Surface Align exists, but not a placement-group re-align operation."
Asset Placement Lab,Validate asset set,Scaffolded,High,Medium,Authoring safety,AssetSetBuilder and asset set fields,No dedicated asset set validator beyond selection creation/metadata.
Asset Placement Lab,Validate socket library,Partially implemented,Medium,Medium,Authoring safety,SocketValidator,Selection validation exists; library-wide validation absent.
Asset Placement Lab,Placement preview utility,Scaffolded,High,Medium,UX/safety,Scene preview drawing inside AssetPlacementLabWindow,"No separate PungentPlacementPreviewUtility file, despite brief listing it."
Asset Placement Lab,Placement overlap validator,Scaffolded,High,Medium,Placement rule quality,Overlap logic appears inside generation/rule flow,No separate PungentPlacementOverlapValidator file.
Asset Placement Lab,Surface sampler utility,Scaffolded,High,Medium,Placement rule quality,Raycast sampling inside scatter utility/rules,No separate PungentPlacementSurfaceSampler file.
Asset Placement Lab,Backtracking solver,Yet to implement,Medium,Very High,Advanced placement solving,No file found,Listed in planned shared utilities.
Asset Placement Lab,Colour Lab palette-driven prefab/material variation bridge,Yet to implement,Medium,High,Cross-lab enhancement,No bridge package found,Architecture bible recommends optional hook.
Asset Placement Lab,Texture Lab density-mask bridge,Yet to implement,Medium,High,Cross-lab enhancement,Heatmap field only,No dedicated bridge or handoff workflow.
Scene Workflow Lab,Scene Navigation window,Partially implemented,High,Medium,Scene authoring QoL,PungentSceneNavigationWindow.cs,Waypoints/tracking/focus appear present; prefs/splitters could be more consistent.
Scene Workflow Lab,Scene Gizmo Source component,Fully implemented,High,Medium,Scene visualization,PungentSceneGizmoSource.cs,Configurable gizmo rules and labels.
Scene Workflow Lab,Scene Gizmo Browser,Partially implemented,High,Medium,Scene visualization management,PungentGizmoBrowserWindow.cs,Cached scanning was added; still uses SceneView.RepaintAll in places.
Scene Workflow Lab,Scene Gizmo Source custom inspector,Fully implemented,Medium,Medium,Authoring UX,PungentSceneGizmoSourceEditor.cs,Rule editing/templates/preview.
Scene Workflow Lab,Scene Help Overlay,Scaffolded,Medium,Low,Assistance UX,PungentSceneHelpOverlay.cs,Lightweight hook only.
Scene Workflow Lab,Surface Align Tool / TerrainAlign compatibility,Partially implemented,High,Medium,Scene placement aid,TerrainAlignTool.cs,Functional and generic; legacy naming remains.
Scene Workflow Lab,Path Authoring Toolkit,Partially implemented,High,Medium,Path helper foundation,PungentPathAuthoringToolkitWindow.cs,Handle/sampling concepts present; not fully consolidated with path placement.
Scene Workflow Lab,Modular Path Builder window/editor/runtime spawner,Partially implemented,High,High,Path/modular assembly,"ModularPathSpawner.cs, ModularPathWindow.cs, ModularPathSpawnerEditor.cs","Useful, but runtime file is large and contains editor-only calls behind #if; should split sampling/rebuild/editor logic."
Scene Workflow Lab,Scene Workflow lab hub consolidation,Partially implemented,High,Medium,Navigation,Registry lab menu + individual windows,"Tools are grouped by registry, but no cohesive lab hub window beyond launcher filtering."
Colour Lab,Palette asset + swatch data model,Fully implemented,Critical,Medium,Colour Lab core,"PungentColourPaletteSO.cs, PaletteSwatch.cs",Palette storage and swatch metadata exist.
Colour Lab,Palette Designer main window,Partially implemented,Critical,High,Primary Colour Lab UI,PaletteDesignerWindow.cs,Feature-rich but 2168-line monolith; should split into panels/services/state.
Colour Lab,Palette save/load/storage utility,Fully implemented,High,Medium,Palette workflow,PungentPaletteStorageUtility.cs,Load selected/save/save as/default paths exist.
Colour Lab,Palette generation engine,Partially implemented,Critical,High,Palette creation,PaletteGeneratorUtility.cs + window generation methods,Core generation works; planned advanced variation/refinement/reference systems are incomplete.
Colour Lab,Coolors-style organic palette generation,Partially implemented,High,High,Palette UX,PaletteDesignerWindow generation controls,Seed/harmony/ranges/contrast exist; weighted harmony mixer and richer contextual generation absent.
Colour Lab,Harmony rules: monochromatic/complementary/split/analogous/triadic/tetradic/square,Fully implemented,High,Medium,Palette theory,"ColourHarmonyUtility.cs, PaletteGenerationSettings.cs",Core harmony calculations exist.
Colour Lab,Multiple harmony types with priority/mixing ratios,Yet to implement,High,High,Advanced generation,No weighted mixer model found,Previously desired for advanced generator.
Colour Lab,Interactive weighted Harmony Mixer bar,Yet to implement,Medium,High,Advanced generation UI,No mixer UI classes found,"Mentioned as finalized design in prior colour work, not in current package."
Colour Lab,Harmony Influence scalar,Fully implemented,Medium,Low,Generator tuning,"PaletteGenerationSettings.harmonyInfluence, UI slider",Present.
Colour Lab,Swatch locks,Fully implemented,High,Medium,Palette iteration,PaletteSwatch.locked + UI controls,Locking and locked-count UI exist.
Colour Lab,Right-click/context menu for swatches,Fully implemented,High,Medium,Palette iteration,PaletteDesignerWindow.ShowSwatchContextMenu,Lock/regenerate/duplicate/remove/copy actions present.
Colour Lab,Regenerate individual swatches,Fully implemented,High,Medium,Palette iteration,RegenerateSwatch flow,Disabled for locked swatches.
Colour Lab,Regenerate whole palette while preserving locked swatches,Fully implemented,High,Medium,Palette iteration,RegeneratePaletteUnlocked,Implemented.
Colour Lab,Generated variant/base/extra swatch column model,Yet to implement,Medium,High,Advanced palette generation,No GeneratedPaletteVariant UXML/USS or runtime UI files found,"Current package uses IMGUI Palette Designer, not the later runtime/UI Toolkit structure."
Colour Lab,Include selected colour / include selected palette toggles during generation,Yet to implement,Medium,Medium,Generator workflow,No include selected/include palette fields found,Mentioned in later colour generator plan.
Colour Lab,Palette roles and role-aware generation,Partially implemented,High,Medium,Design-system palette output,PaletteSwatchRole + generation role logic,Roles exist; role UI/ordering is basic compared with full desired system.
Colour Lab,Role-based ordering,Partially implemented,Medium,Medium,Palette management,SortSwatches and roles,Sorting exists; full role-first layout not complete.
Colour Lab,Colour value modes: RGB/HSV/CMYK/LAB/Grayscale conversions,Fully implemented,High,Medium,Colour editing foundation,ColourConversionUtility.cs,Utility support exists.
Colour Lab,Dynamic filter sliders by selected colour mode,Partially implemented,High,Medium,Advanced filtering,PaletteDesignerWindow generation sliders + ColourConversionUtility,Mode conversion exists; full filter-mode panel from runtime design is not present.
Colour Lab,Filter influence scalar,Yet to implement,Medium,Low,Generation control,No filterInfluence field found,"Harmony influence exists, filter influence does not."
Colour Lab,Sorting options UI,Fully implemented,Medium,Low,Palette management,PaletteDesignerWindow sort buttons,Hue/value/saturation/name-like controls appear present.
Colour Lab,Contrast analysis / WCAG ratings,Fully implemented,High,Medium,Accessibility,"ColourContrastUtility.cs, PaletteAnalysisUtility.cs",Contrast pairs and ratings exist.
Colour Lab,Deficiency preview / colour blindness filters,Fully implemented,High,Medium,Accessibility,ColourDeficiencyPreviewUtility.cs + toolbar enum,Preview utility and UI selection exist.
Colour Lab,Palette application to materials/renderers/UI/text/TMP-like targets,Partially implemented,High,High,Cross-scene application,PaletteApplyUtility.cs,Applies to selected targets and uses reflection for TMP-like text; still needs optional bridge/dependency documentation.
Colour Lab,Scene colour tracker / global scene reference tracking,Yet to implement,Medium,High,Scene design workflow,No scene colour tracker/reference panel files,Mentioned in Colour Inspector planning.
Colour Lab,Built-in Unity swatches/reference libraries,Yet to implement,Medium,Medium,Reference workflow,No standard library assets found,Mentioned in colour tool refinement.
Colour Lab,"Recognized standards: Pungent Library, AS 2700, FS 595, BS 381, RAL, ISCC-NBS, NCS, X11, Crayola, Resene, XKCD",Yet to implement,Medium,High,Reference workflow,No reference library datasets found,XKCD/reference standards not present in archive.
Colour Lab,Import/export formats such as .aco,Yet to implement,Low,High,Interchange,No import/export parser found,Mentioned as aspirational feature.
Colour Lab,Gradient/tint tools,Yet to implement,Medium,Medium,Colour authoring,No dedicated gradient/tint tools found,Mentioned in advanced colour design list.
Colour Lab,Palette report card analysis,Partially implemented,High,Medium,Palette quality,PaletteAnalysisUtility.cs,Contrast/role/similarity diagnostics exist; not a full report-card UI/export.
Colour Lab,"Palette Refinements: harmony section, monochrome bar, tone matrices",Yet to implement,Medium,High,Advanced refinement UI,No refinement panel files found,Detailed UI structure from prior colour chats absent.
Colour Lab,Contrast checker matrix visual section,Scaffolded,Medium,Medium,Accessibility visualization,PaletteAnalysisUtility pair list,No matrix VisualElement/section as designed.
Colour Lab,Colour blending A/B tone matrix and temperature bars,Yet to implement,Low,High,Advanced refinement,No blending section found,Prior Colour Inspector plan only.
Colour Lab,Runtime UI Toolkit Colour Inspector panels/UXML/USS,Yet to implement,Medium,Very High,Runtime tool product,No UXML/USS/controller files found,Current archive is IMGUI editor package.
Texture Lab,Procedural Texture Lab window,Partially implemented,High,High,Texture Lab core,ProceduralTextureLabWindow.cs,Functional preview/generate/export; could still use lab split/docs/bridge polish.
Texture Lab,Procedural texture settings/runtime-safe model,Fully implemented,High,Medium,Texture generation core,ProceduralTextureSettings.cs,Serializable settings for patterns/stamps/grid/density/etc.
Texture Lab,Procedural texture generator engine,Fully implemented,High,High,Texture generation core,ProceduralTextureGenerator.cs,Pattern/stamp/density/texture creation present.
Texture Lab,Texture Array Baker window,Partially implemented,High,High,Asset pipeline,"TextureArrayBakerWindow.cs, TextureArrayBakerUtility.cs",Functional bake workflow; still in Asset menu category rather than Texture Lab menu.
Texture Lab,Organic/pattern generation expansion,Partially implemented,Medium,High,Texture generation,ProceduralTextureGenerator.cs,Many pattern modes exist; future organic generators can build on this.
Texture Lab,Palette-to-texture/material-mask generation,Yet to implement,Medium,High,Colour/Texture bridge,No palette bridge found,Listed as future texture lab enhancement.
Texture Lab,Density/stamp texture support for placement masks,Partially implemented,Medium,Medium,Texture/Placement bridge,Procedural settings include density maps; placement rule has heatmap,No direct handoff/bridge UI.
Audio Lab,Audio clip set asset,Fully implemented,High,Medium,Audio runtime core,Audio Coverage/AudioClipSetSO.cs,Now uses namespace PungentFunk.Utilities.Audio and standard CreateAssetMenu root PungentFunk Utilities/Audio/Clip Set.
Audio Lab,Audio setup coverage profile,Partially implemented,High,High,Coverage validation,Audio Coverage/AudioCoverageProfileSO.cs,"Now uses standard CreateAssetMenu root. Generic profile exists, but some default cue examples may still need review."
Audio Lab,Audio Setup Coverage scanner,Partially implemented,High,High,Audio authoring QA,AudioCoverageContextWindow.cs,Scene/prefab/profile scans exist; monolithic and scan/cache hardening still needed.
Audio Lab,Audio Catalog Coverage scanner,Partially implemented,High,High,Audio authoring QA,AudioCoverageWindow.cs,Cue/catalog auditing exists; monolithic and may need generic catalog service alignment.
Audio Lab,Surface audio material definitions/library/tags,Fully implemented,High,Medium,Runtime surface audio,"AudioSurfaceMaterialSO.cs, AudioMaterialLibrarySO.cs, AudioMaterialTag.cs",Generic surface materials and tags exist.
Audio Lab,Audio material resolver for colliders/raycast hits/terrain,Fully implemented,High,High,Runtime surface audio,AudioMaterialResolver.cs,Collider/tag/terrain resolution helpers.
Audio Lab,Interaction matrix/profile system,Fully implemented,High,Medium,Runtime surface audio,"AudioInteractionMatrixSO.cs, AudioInteractionProfileSO.cs",Material-pair profile resolution exists.
Audio Lab,Terrain audio material profiles,Fully implemented,High,Medium,Terrain audio,"TerrainAudioMaterialProfileSO.cs, TerrainAudioProfileEditor.cs",Layer bindings and diagnostics exist.
Audio Lab,Contact event classifier,Fully implemented,High,Medium,Runtime contact audio,ContactEventClassifier.cs,Classifies impacts/slide/scrape/etc.
Audio Lab,Contact audio router/source pooling/loop instances,Partially implemented,High,High,Runtime audio playback,"ContactAudioRouter.cs, ContactLoopInstance.cs",Core routing/loops exist; full director/catalog integration missing.
Audio Lab,Mixer routing/default mixer setup utility,Yet to implement,Medium,Medium,Audio project setup,No mixer setup generator found,Mentioned in audio setup planning.
Audio Lab,Runtime audio cue catalog/director,Yet to implement,High,High,Audio runtime service,No PungentAudioCueCatalogSO/Director found,Future pass in implementation brief.
Audio Lab,Generic AudioSource pool service,Scaffolded,Medium,Medium,Audio runtime service,ContactAudioRouter internal pooling,No standalone PungentAudioSourcePool file.
Audio Lab,Runtime audio hooks for cue playback,Yet to implement,Medium,High,Audio integration,No runtime hook classes found,Planned future audio lab expansion.
Audio Lab,Audio cue coverage module integrated with future director,Yet to implement,High,High,Coverage + runtime integration,Existing coverage windows only,Needs catalog/director model first.
Asset Preview & Export Lab,Prefab Icon Generator,Partially implemented,High,High,Asset presentation/export,PrefabIconGeneratorWindow.cs,Non-blocking preview/export exists; could use bridge polish.
Asset Preview & Export Lab,Prefab Asset Exporter,Partially implemented,High,High,Asset packaging,"PrefabAssetExporter.cs, PrefabAssetExporterWindow.cs",Copies/reuses prefab dependencies; needs release docs/safety validation.
Asset Preview & Export Lab,Font Preview,Partially implemented,Medium,Medium,Asset review,FontPreviewWindow.cs,Works but compile-time TMPro using should be optionalized/declared.
Asset Preview & Export Lab,Preview/batch render helpers,Scaffolded,Medium,High,Future preview/export,PrefabIconGenerator jobs,No generic batch-render service/lab hub yet.
Asset Preview & Export Lab,Colourway icon generation bridge,Yet to implement,Medium,High,Cross-lab enhancement,No Colour/Preview bridge found,Architecture bible optional hook.
Project Audit & Authoring Lab,Reference Assignment Scanner,Partially implemented,High,High,Generic project QA,ReferenceAssignmentScannerWindow.cs,Strong tool; monolithic and uses broad scans/resources.
Project Audit & Authoring Lab,Terrain Usage Scanner,Partially implemented,High,High,Generic project QA,TerrainUsageScannerWindow.cs,Strong tool; monolithic and scan/cache infra not shared.
Project Audit & Authoring Lab,Component Tuning Copy,Partially implemented,High,Medium,Authoring productivity,ComponentTuningCopyWindow.cs,Dry-run/copy modes; could use deeper docs and adapter recipes.
Project Audit & Authoring Lab,Coverage Matrix,Partially implemented,Medium,Medium,Authoring QA,PungentCoverageMatrixWindow.cs,"Generic coverage model/window exists, but not formal shared visualization module."
Project Audit & Authoring Lab,Token Validator,Partially implemented,Medium,Medium,Text/content QA,PungentTokenValidatorWindow.cs,Validates text tokens; could become Content/Authoring bridge.
Project Audit & Authoring Lab,Tooltip Notes Browser,Partially implemented,Medium,Medium,Documentation/authoring aid,PungentTooltipNotesBrowserWindow.cs,Useful; uses SceneView repainting and lacks full package docs integration.
Project Audit & Authoring Lab,Bulk Rename,Partially implemented,High,Medium,Scene authoring productivity,BulkRenameWindow.cs,Preview/apply exists; legacy Tools/RenameTool alias remains.
Project Audit & Authoring Lab,ScriptableObject generator profile/module base/folder routing,Yet to implement,High,High,SO-heavy project automation,No SO lab files found,Future high-value lab.
Project Audit & Authoring Lab,ScriptableObject validation rules/scanning/repair,Yet to implement,High,High,SO QA,No SO lab files found,"Should extract patterns, not game-specific ability/gacha tools."
Project Audit & Authoring Lab,Batch-create assets from text/CSV/table input,Yet to implement,High,High,Authoring automation,No batch SO importer found,Future SO lab feature.
Project Audit & Authoring Lab,Dependency previews for generated/validated assets,Yet to implement,Medium,High,Authoring safety,No dependency graph preview found,Could link with Visualization Lab.
Content Generation Lab,NameList asset,Fully implemented,Medium,Low,Content generation core,Name Generator/NameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Name List.
Content Generation Lab,MadLibNameList asset,Fully implemented,Medium,Medium,Content generation core,Name Generator/MadLibNameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Mad-Lib Name List.
Content Generation Lab,Name Generator window,Partially implemented,Medium,Medium,Content generation UI,NameGeneratorWindow.cs,Functional but monolithic-ish; future content/token generation not present.
Content Generation Lab,Name presets assets,Fully implemented,Low,Low,Convenience content,Name Generator/Name Presets/*.asset,Boy/girl/nonbinary/community/last names present.
Content Generation Lab,Generic token/text/content generation beyond names,Yet to implement,Medium,High,Future content tools,No broader generator framework found,Mentioned in future lab structure.
UI & Feedback Lab,InputPromptIconLibraryAutoFill editor tool,Partially implemented,High,Medium,Current UI lab seed,InputPromptIconLibraryAutoFill.cs,Editor-only populator exists; relies on serialized names rather than runtime model.
UI & Feedback Lab,Runtime PungentInputPromptIconLibrary,Yet to implement,High,Medium,Input prompt runtime core,No runtime input prompt files found,Planned next UI lab start.
UI & Feedback Lab,Runtime input prompt resolver/token/presenter,Yet to implement,High,High,Input prompt runtime core,No resolver/token/presenter found,Should remain layout-agnostic and Input System optional/guarded.
UI & Feedback Lab,Input prompt preview window/editor,Yet to implement,Medium,Medium,Authoring UX,Only auto-fill window exists,Planned UI lab expansion.
UI & Feedback Lab,World Prompt Registry/Presenter,Yet to implement,Medium,High,Reusable interaction UI,No world prompt files found,Must avoid SkiGame quest/interaction dependencies.
UI & Feedback Lab,Floating Text System,Yet to implement,Medium,Medium,Feedback runtime,No floating text files found,Planned future module.
UI & Feedback Lab,Popup Notification System,Yet to implement,Medium,Medium,Feedback runtime,No popup notification files found,Planned future module.
UI & Feedback Lab,Tooltip Presenter,Yet to implement,Medium,Medium,Feedback runtime,Tooltip notes browser is editor-only,Runtime presenter absent.
UI & Feedback Lab,Right-click Context Menu runtime/editor helper,Yet to implement,Medium,Medium,UI foundation,No generic context menu helper found,Planned future module.
UI & Feedback Lab,UI Animation Trigger/Profile system,Yet to implement,Medium,High,Feedback authoring,No animation profile files found,Planned future module.
UI & Feedback Lab,Radar/Spider Graph VisualElement,Yet to implement,Low,Medium,Visualization/UI widget,No VisualElement graph found,Planned future UI/Visualization item.
